Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"前前前世 - movie ver.","RADWIMPS","君の名は。","Favorite Songs","Favorite","JPPO01617097","23eTkfMmq1LvqiDzeNHdVe"
"なんでもないや - movie ver.","RADWIMPS","君の名は。","Favorite Songs","Favorite","JPPO01618977","3SMpsXpVrFju2OUzFtJPws"
"抜刀 (feat. 花譜)","Maigo Hanyuu","抜刀 (feat. 花譜)","Favorite Songs","Favorite","JPTF02130201","3diUXDfx20uzySBCK3k9PZ"
"Gone Angels","Mili","To Kill a Living Book -for Library Of Ruina-","Favorite Songs","Favorite","TCJPQ2110399","6HcYzzy7STujV2AG9RqHHh"
"危ノーマル","花譜","魔法","Favorite Songs","Favorite","JPZ922004453","0bg2Ho36W5AbDaTMGuUwsg"
"打上花火","Daoko","打上花火","Favorite Songs","Favorite","JPTF01710201","7pcTLUekZJQnzDOUDuExVJ"
"恋愛サーキュレーション - Yunomi “Kawaii EDM” Remix","Kana Hanazawa","KANAight 〜花澤香菜キャラソン ウルトラリミックス〜","Favorite Songs","Favorite","JPE301600674","3Ytb23uBzBZCfwzcSSqr0Z"
"知らないままで","ロクデナシ","知らないままで","Favorite Songs","Favorite","JPPO02201609","0kEXWokTVYKFxRnNH1xvlg"
"心做し","majiko","Contrast","Favorite Songs","Favorite","JPC231500557","7iYdGuVLqb5bwOlgA6oKGs"
"world.execute (me) ;","Mili","Miracle Milk","Favorite Songs","Favorite","TCJPE1657482","2aozlm4HfRx8yRYL7RCoAH"
"それを世界と言うんだね","花譜","狂想","Favorite Songs","Favorite","JPY392200805","3UqDC5cbeOXRuep44yt2wA"
"深淵","ヰ世界情緒","深淵","Favorite Songs","Favorite","JPY392200495","3gUB2bwB7bdstJlQ9MHvC1"
"新宝島","sakanaction","834.194","Favorite Songs","Favorite","JPVI01527970","4a48lWUd64bZgHUDx0GZlj"
"だんご大家族","Oke/a/","Songs in the Key of /e/","Favorite Songs","Favorite","SE5752443783","6kZxsjayvEPizwJ72O0XMV"
"からくりピエロ -初音ミク「マジカルミライ 2014」Live-","40mP","初音ミク「マジカルミライ 2014」 [Live]","Favorite Songs","Favorite","JPE561500360","0f6Z1Kbo3PzA1sTtoaBbqK"
"Slow Down","Madnap","Slow Down","Favorite Songs","Favorite","QZFPL1900015","54OyMf9WrMvrkAlZ3t0AMs"
"またね幻","ZUTOMAYO","今は今で誓いは笑みで","Favorite Songs","Favorite","JPPO01901846","3FYWuYpw0KUTn1fP523jvx"
"Trouble Is a Friend","Lenka","Lenka (Expanded Edition)","Favorite Songs","Favorite","USSM10803051","2mxT8OWvZSjAzmYYGeBjoY"
"Brave Shine","Aimer","DAWN","Favorite Songs","Favorite","JPU901501303","46YSff2Rq1ZtN1YVk5cwbZ"
"FLASH","Perfume","Perfume The Best ""P Cubed""","Favorite Songs","Favorite","JPPO01614458","0iCOM7P9YJosI9G6mIvU3K"
"PONPONPON","Kyary Pamyu Pamyu","ぱみゅぱみゅレボリューション","Favorite Songs","Favorite","JPWP01170548","1c6C2wg7PRbPBRRUaEvheC"
"Online Love","宇宙ネコ子","日々のあわ","Favorite Songs","Favorite","JPV501600460","7oJ5lM7Pj1xRqMowJV6IJT"
"ふわふわ","Yuta Hashimoto","CHANGE","Favorite Songs","Favorite","JPU901703539","0jcNuHQmBgumnqTO4aBT2O"
"ハロ/ハワユ","ナノウ","ハロ/ハワユ","Favorite Songs","Favorite","JPE561011795","1CEC3JNSQy8OQXmnuLcA1D"
"オドループ","春猿火","CREAM PUFF LIVE 2","Favorite Songs","Favorite","JPY392200507","4XnLF6zIWmBFJFWzVZPNn5"
"パレード","ヨルシカ","だから僕は音楽を辞めた","Favorite Songs","Favorite","JPA651904582","2SdXNiI9ny1WunIx4A7Bjg"
"言って。","ヨルシカ","夏草が邪魔をする","Favorite Songs","Favorite","JPA651703790","6z1TvLTR0oOsWSJfDrERmj"
"左右盲","ヨルシカ","左右盲","Favorite Songs","Favorite","JPPO02202188","797EOD68bmVFiyalgBGeOZ"
"流線形メーデー","花譜","流線形メーデー","Favorite Songs","Favorite","JPY392200475","4fXruhXTrp3eOdVDo9l6nK"
"花女","花譜","魔法","Favorite Songs","Favorite","JPZ922011623","0J6VNnSwiOBmgzf1NOVsIw"
"______ - 羽生まゐご Remix","x0o0x_","人形","Favorite Songs","Favorite","JPB602400686","13cYugdllVaaDp3SemoxEy"
"アンサー","花譜","魔法","Favorite Songs","Favorite","JPZ922004451","5w3rC66HQ8fQWg2V3gepdS"
"世惑い子","花譜","狂想","Favorite Songs","Favorite","JPY392100027","3gKbfrRbrCYBpg7YEA6PeK"
"朝日","カンザキイオリ","KAF+YOU KAFU COMPILATION ALBUM シンメトリー vol.3","Favorite Songs","Favorite","JPY392100036","0NRyx3Hd7vX4vC7OCrVFsU"
"痛みを","花譜","魔法","Favorite Songs","Favorite","JPZ922011625","2DqpLfWCbaK7n4rwuGCYAv"
"彷徨い","花譜","魔法","Favorite Songs","Favorite","JPZ922011621","3egP07pvXrLM42r10U1CqR"
"ニヒル","花譜","狂想","Favorite Songs","Favorite","JPY392100015","3z3NF63OEyOFNjJyJqq27e"
"死んでしまったのだろうか at I SCREAM LIVE - Cover","花譜","I SCREAM LIVE","Favorite Songs","Favorite","JPZ922007303","2WctLDHv8xAxuO5ZBS581p"
